50590896	307457355	1039289050	525080	0.303	1.122	1.998	-3.408	1.259	-0.112
50786088	307457293	1039289075	525129	0.319	1.121	2.001	-3.325	1.040	-0.046
50987237	307457230	1039289099	525136	0.324	1.120	2.005	-3.428	1.233	-0.192
51188094	307457165	1039289124	525294	0.316	1.119	2.006	-3.345	1.087	-0.196
51386171	307457103	1039289150	525343	0.339	1.119	2.008	-3.307	1.301	-0.239
51587155	307457043	1039289178	525324	0.335	1.118	2.009	-3.245	1.317	-0.110
51790222	307456982	1039289207	525268	0.307	1.117	2.007	-3.315	1.355	-0.029
51986178	307456919	1039289236	525357	0.297	1.114	1.993	-3.346	1.365	-0.055
52189915	307456859	1039289266	525347	0.334	1.112	1.991	-3.100	1.433	-0.171
52388089	307456801	1039289299	525358	0.309	1.110	1.984	-3.170	1.565	0.128
52591159	307456742	1039289333	525351	0.294	1.107	1.977	-3.205	1.637	0.068
52790678	307456684	1039289367	525322	0.292	1.104	1.970	-3.180	1.566	-0.028
52991572	307456626	1039289403	525225	0.291	1.100	1.958	-3.165	1.745	0.027
53192129	307456566	1039289440	525300	0.288	1.096	1.949	-3.347	1.558	-0.059
53387016	307456508	1039289475	525223	0.300	1.092	1.938	-3.126	1.743	-0.014
53591622	307456451	1039289514	525375	0.321	1.088	1.925	-3.073	1.724	-0.085
53789120	307456395	1039289551	525438	0.327	1.084	1.914	-3.058	1.756	-0.318
53989149	307456341	1039289590	525360	0.305	1.081	1.905	-2.869	1.914	-0.059
54188097	307456287	1039289629	525307	0.290	1.078	1.897	-2.986	1.793	0.054
54390814	307456233	1039289670	525277	0.298	1.076	1.891	-2.907	2.031	0.044
54590797	307456181	1039289716	525259	0.283	1.072	1.880	-2.789	2.178	-0.092
54791625	307456130	1039289761	525205	0.288	1.069	1.877	-2.816	2.013	0.026
54989128	307456078	1039289808	525189	0.297	1.066	1.874	-2.913	2.244	-0.051
55190090	307456025	1039289854	525126	0.290	1.064	1.871	-2.873	2.084	0.038
55390086	307455972	1039289901	525141	0.292	1.061	1.867	-2.858	2.131	0.104
55591498	307455919	1039289948	525138	0.281	1.057	1.858	-2.784	2.196	-0.099
55791534	307455868	1039289996	525106	0.284	1.054	1.855	-2.754	2.199	-0.105
55985096	307455818	1039290046	525133	0.282	1.051	1.848	-2.708	2.474	-0.221
56189125	307455767	1039290098	525125	0.285	1.047	1.844	-2.864	2.340	-0.173
56389102	307455716	1039290148	525001	0.274	1.043	1.836	-2.687	2.373	0.092
56587477	307455669	1039290201	524891	0.285	1.041	1.834	-2.516	2.570	0.052
56787674	307455623	1039290257	524946	0.272	1.038	1.830	-2.466	2.418	-0.012
56989119	307455577	1039290311	524887	0.257	1.035	1.825	-2.469	2.558	-0.110
57189130	307455532	1039290369	524842	0.244	1.030	1.821	-2.225	2.653	-0.168
57388137	307455491	1039290425	524761	0.267	1.027	1.820	-2.228	2.639	-0.031
57589117	307455449	1039290482	524705	0.285	1.026	1.820	-2.224	2.764	0.013
57793326	307455408	1039290542	524696	0.263	1.024	1.820	-2.218	2.647	0.129
57992319	307455368	1039290602	524695	0.266	1.022	1.821	-2.037	2.803	-0.026
58192374	307455335	1039290657	524556	0.296	1.021	1.824	-1.665	2.633	-0.121
58393101	307455305	1039290712	524340	0.286	1.020	1.826	-1.559	2.798	0.324
58586098	307455271	1039290774	524274	0.299	1.019	1.830	-1.817	2.937	0.415
58792334	307455237	1039290839	524149	0.264	1.017	1.834	-1.657	3.058	0.451
58992921	307455205	1039290906	524015	0.277	1.015	1.837	-1.607	3.136	0.554
59192383	307455173	1039290974	523957	0.302	1.012	1.837	-1.545	3.091	0.352
59392323	307455145	1039291042	523843	0.306	1.010	1.838	-1.441	3.344	0.302
59593053	307455116	1039291116	523808	0.232	1.006	1.838	-1.351	3.370	0.309
59792276	307455087	1039291188	523851	0.250	1.001	1.838	-1.500	3.104	0.137
60000934	307455057	1039291256	523755	0.236	0.997	1.836	-1.619	3.270	0.242
60191155	307455027	1039291322	523721	0.227	0.993	1.833	-1.715	3.042	0.175
60393135	307454999	1039291390	523720	0.261	0.990	1.832	-1.483	3.350	0.067
60594086	307454971	1039291461	523734	0.255	0.987	1.832	-1.464	3.315	0.080
60793553	307454945	1039291530	523673	0.295	0.986	1.833	-1.428	3.268	0.059
60991163	307454920	1039291599	523654	0.218	0.983	1.833	-1.337	3.303	0.000
61187143	307454897	1039291667	523603	0.236	0.980	1.834	-1.322	3.349	0.062
61393699	307454876	1039291736	523542	0.254	0.977	1.834	-1.131	3.458	0.037
61591154	307454857	1039291809	523538	0.258	0.975	1.835	-1.005	3.472	-0.021
61790094	307454841	1039291881	523521	0.251	0.973	1.836	-0.962	3.539	-0.085
61992136	307454825	1039291954	523490	0.241	0.971	1.838	-0.890	3.463	0.014
62190122	307454811	1039292027	523455	0.254	0.970	1.838	-0.686	3.433	0.012
62390446	307454799	1039292101	523481	0.252	0.968	1.833	-0.645	3.600	-0.069
62594638	307454790	1039292176	523447	0.250	0.967	1.831	-0.409	3.600	-0.105
62792085	307454782	1039292249	523335	0.239	0.965	1.829	-0.524	3.590	0.025
62992092	307454774	1039292323	523238	0.246	0.965	1.828	-0.449	3.620	0.060
63192096	307454767	1039292398	523154	0.240	0.963	1.825	-0.425	3.638	0.129
63392135	307454764	1039292474	523144	0.231	0.961	1.818	-0.136	3.739	-0.299
